OBJECTID,lon,lat,StaType,DateModif,StnType,ZipCode,State,City,Address2,Address1,Name,Code,StationName,StationFacilityName,StationAliases,x,y
42,-74.907893,39.783504,Platform with Shelter,2018-09-27T07:04:39,TRAIN,08004,NJ,Atco, ,Cooper Road and Raritan Avenue, ,ATO,"Atco, NJ", , ,-74.9078946802357,39.7835120410613
43,-70.266407,44.037697,Station Building (with waiting room),2020-11-18T07:03:56,BUS,04210,ME,Auburn, ,1707 S. Washington Street, ,AUR,"Auburn, ME", ,Lewiston,-70.2664074274821,44.0377060109128
44,-97.75694,30.269449,Station Building (with waiting room),2017-11-06T07:04:26,TRAIN,78703,TX,Austin, ,250 North Lamar Boulevard, ,AUS,"Austin, TX", , ,-97.7569476293145,30.269454215596
45,-75.471521,40.60405,Station Building (with waiting room),2023-02-01T07:07:21,BUS,18101,PA,Allentown, ,110 N 6th Street, ,AWN,"Allentown, PA", ,Lehigh University,-75.4715229087955,40.6040581821523
46,-117.813137,44.781551,Station Building (with waiting room),2018-09-27T07:04:39,BUS,97814,OR,Baker City, ,515 Campbell Street, ,BAK,"Baker City, OR", , ,-117.813150518763,44.7815568991323
47,-76.615688,39.307302,Station Building (with waiting room),2018-09-14T07:04:40,TRAIN,21201,MD,Baltimore, ,1500 North Charles Street,Penn Station,BAL,"Baltimore, MD",Penn Station,Penn Station,-76.6156901888681,39.3073098830818
48,-86.111646,42.314519,Station Building (with waiting room),2017-11-06T07:04:27,TRAIN,49013,MI,Bangor, ,541 Railroad Street, ,BAM,"Bangor, MI", , ,-86.1116513414668,42.3145270120529
49,-68.808747,44.816614,Station Building (with waiting room),2018-09-26T07:04:42,BUS,04401,ME,Bangor, ,1039 Union Street, ,BAN,"Bangor, ME", , ,-68.8087469832627,44.81662319569
50,-117.025435,34.90482,Platform with Shelter,2019-02-14T07:03:18,TRAIN,92311,CA,Barstow, ,685 North First Avenue,Harvey House Rail Depot,BAR,"Barstow, CA",Harvey House Rail Depot, ,-117.025447051247,34.9048250217433
51,-89.334,30.308734,Platform only (no shelter),2025-07-08T02:04:06,TRAIN,39520,MS,Bay St. Louis, ,1928 Depot Way, ,BAS,"Bay Saint Louis, MS", , ,-89.3340054264864,30.3087395158193
52,-118.2999,34.171299,Station Building (with waiting room),2024-08-22T10:54:58,TRAIN,91502,CA,Burbank, ,201 North Front Street,Downtown,BBK,"Burbank, CA",Downtown, ,-118.299912206351,34.1713038660964
53,-116.998434,34.891277,Curbside Bus Stop only (no shelter),2021-12-01T07:04:03,BUS,92311,CA,Barstow, ,1611 East Main St,McDonald's restaurant,BBS,"Barstow, CA",McDonald's restaurant, ,-116.998446045596,34.8912820217799
54,-71.075828,42.347317,Station Building (with waiting room),2018-12-13T07:03:24,TRAIN,02116,MA,Boston, ,145 Dartmouth Street,Back Bay Station,BBY,"Boston, MA",Back Bay Station,"Boston,Back Bay,westwood",-71.0758285958499,42.3473256703742
55,-118.628407,43.642314,Curbside Bus Stop only (no shelter),2018-06-15T07:04:17,BUS,97720,OR,Buchanan, ,42456 U.S. Highway 20, ,BCH,"Buchanan, OR", , ,-118.628420454452,43.6423197337963
56,-77.29879,38.797271,Platform with Shelter,2018-09-14T07:04:41,TRAIN,22015,VA,Burke, ,10399 Premier Court, ,BCV,"Burke Centre, VA", , ,-77.298792370329,38.7972787551668
57,-83.886922,43.601847,Station Building (with waiting room),2018-09-27T07:04:39,BUS,48708,MI,Bay City, ,1124 Washington Avenue, ,BCY,"Bay City, MI", , ,-83.8869267938141,43.6018553519741
58,-73.08709,43.798342,Curbside Bus Stop only (no shelter),2021-06-25T07:04:13,BUS,05733,VT,Brandon, ,20 Park Street, ,BDN,"Brandon, VT", , ,-73.0870913496095,43.7983508715437
59,-82.457451,27.48585,Curbside Bus Stop only (no shelter),2025-04-18T07:04:41,BUS,34212,FL,Bradenton, ,8100 FL-64, ,BDT,"Bradenton, FL", ,Ellenton,-82.4574543872657,27.4858550598634
60,-88.446964,44.729865,Curbside Bus Stop only (no shelter),2022-03-10T07:04:01,BUS,54107,WI,Bonduel, ,102 Express Way, ,BDU,"Bonduel, WI", , ,-88.4469703071525,44.7298732728242
61,-122.511255,48.720263,Station Building (with waiting room),2017-11-06T07:04:29,TRAIN,98225,WA,Bellingham, ,401 Harris Avenue, ,BEL,"Bellingham, WA", , ,-122.51127019999,48.7202686526005
62,-110.296904,31.968758,Platform with Shelter,2017-11-06T07:04:29,TRAIN,85602,AZ,Benson, ,105 East 4th Street, ,BEN,"Benson, AZ", , ,-110.296914563697,31.9687629941837
63,-72.765274,41.635595,Platform with Shelter,2018-06-15T07:04:17,TRAIN,06037,CT,Berlin, ,51 Depot Road, ,BER,"Berlin, CT", , ,-72.7652751048108,41.6356034783966
64,-88.989116,42.490067,Curbside Bus Stop only (no shelter),2018-09-26T07:04:42,BUS,61080,IL,South Beloit, ,15766 Manchester Road, ,BET,"South Beloit, IL", , ,-88.9891222121776,42.4900748794455
65,-119.00821,35.37214,Station Building (with waiting room),2018-09-14T07:04:41,TRAIN,93301,CA,Bakersfield, ,601 Truxtun Avenue, ,BFD,"Bakersfield, CA", , ,-119.00822242892,35.3721449515049
66,-69.025984,44.422692,Curbside Bus Stop only (no shelter),2018-09-26T07:04:42,BUS,04915,ME,Belfast, ,22 Belmont Avenue, ,BFT,"Belfast, ME", , ,-69.0259840342739,44.4227011185186
